Orth,Phon
long,/iː/
consonants,/j/
consonants,/w/
diphthongs,/ae̯/
diphthongs,/au̯/
diphthongs,/oe̯/
consonants,/pʰ/
consonants,/tʰ/
consonants,/kʰ/
stops,/kʷ/
stops,/ɡʷ/
stops,/kw/
stops,/ɡw/
after,/n/
after,[ʷ]
after,[w]
after,[ᶣ]
after,[ɥ]
after,/w/
and,/kʷ/
and,/ɡʷ/
and,/u/
and,/k/
and,/ɡ/
and,[kʷ]
and,[ɡʷ]
p,/p/
p,/t/
p,/k/
p,/b/
p,/ɡ/
and,/pʰ/
and,/tʰ/
and,/kʰ/
and,/r/
and,/l/
and,/p/
and,/t/
z,/z/
z,/ss/
z,[z]
z,[zz]
s,/s/
s,[z]
s,/r/
s,/ss/
final,/s/
final,[h]
f,/f/
f,/ɸ/
f,[ɸ]
f,[f]
f,/bʰ/
cases,/m/
cases,[ˈdɛkẽː]
cases,/n/
n,/n/
n,/m/
n,[m]
n,/p/
n,/b/
n,[n]
n,/t/
n,/d/
n,[ŋ]
n,/k/
n,/kʷ/
n,/ɡ/
before,/ɡ/
before,[ŋ]
before,/n/
before,[ŋn]
before,/m/
before,/ɡm/
before,/mm/
before,/ɡn/
before,[n]
rhotic,/r/
rhotic,[r]
rhotic,/z/
rhotic,[ɹ]
rhotic,/d/
rhotic,[ɾ]
rhotic,/ɾ/
l,/l/
l,/i(ː)/
j,/j/
j,/jj/
j,/i/
j,/jam/
j,/ˈe.ti.am/
w,/w/
w,/b/
w,/u/
w,/ˈsilua/
w,/ˈsilwa/
w,/ˈɡenua/
w,/ˈɡenwa/
w,/j/
w,/ww/
h,/h/
h,[ɦ]
for,/kk/
represented,/k/
represented,/kʷ/
represented,/kui̯/
represented,/kʷiː/
represented,/ks/
represented,/kʰ/
spell,/ks/
k,/k/
k,/ɡ/
distinguish,/ɡ/
distinguish,/k/
plosives,/pʰ/
plosives,/tʰ/
plosives,/kʰ/
plosives,/r/
plosives,/l/
plosives,/h/
initial,/z/
initial,/zz/
initial,/dz/
consonants,/u(ː)/
consonants,/i(ː)/
consonant,/j/
consonant,/jː/
consonant,/jj/
consonant,/ji/
consonant,/jːi/
consonant,/ˈkuj.jus/
consonant,/ˈkon.ji.kit/
consonant,/ˈrej.ji.kit/
consonant,/ˈmaj.jus/
consonant,/ˈɡaː.i.us/
consonant,/ˈjuː.li.us/
consonant,/iˈuː.lus/
single,/w/
single,/ww/
single,[ˈɡɛ.nu.ä]
single,[ˈsɪl.wä]
vowels,/i/
vowels,/e/
vowels,/a/
vowels,/o/
vowels,/u/
vowels,/iː/
vowels,/eː/
vowels,/aː/
vowels,/oː/
vowels,/uː/
vowels,/y/
vowels,/yː/
vowels,/i(ː)/
vowels,/u(ː)/
vowels,[ɪ]
vowels,[ɛ]
vowels,[ɔ]
vowels,[ʊ]
vowels,[iː]
vowels,[eː]
vowels,[oː]
vowels,[uː]
e,/e/
e,/r/
e,/i/
e,/iː/
long,/y/
long,/yː/
long,/u/
long,/uː/
long,/i/
short,[ɨ]
short,[ʉ]
short,[ʏ]
short,[ə]
short,[ɪ]
short,/u/
short,[ʊ]
monstrum,/ˈmon.strum/
monstrum,[ˈmõː.strʊ̃]
dentem,/ˈden.tem/
dentem,[ˈdɛn.tɛ̃]
censor,/ˈken.sor/
censor,[ˈkẽː.sɔr]
consul,/ˈkon.sul/
consul,[ˈkõː.sʊɫ̪]
s,/ˈin.fe.roːs/
s,[ˈĩː.fæ.roːs]
and,/n/
represented,/ae̯/
represented,/oe̯/
represented,/au̯/
represented,/ei̯/
represented,/eu̯/
represented,/ui̯/
nus,/ˈaː.nus/
nus,/ˈan.nus/
nus,/ˈa.nus/
do,/ˈfa.ki.oː/
do,/ˈfak.tus/
pronounced,/ˈaf.fi.ki.oː/
pronounced,/ˈaf.fek.tus/
pronounced,/af.ˈfi.ki.oː/
pronounced,/af.ˈfek.tus/
minae,/feː.mi.nae̯/
re,/wi.deː.re/
tae,/be.aː.tae̯/
grauiter,/ɡra.wi.ter/
tum,/straː.tum/
puella,/pu.el.la/
supersum,/su.per.sum/
ctus,/ko.aːk.tus/
xit,/in.tel.leːk.sit/
stop,/p/
stop,/t/
stop,/k/
stop,/b/
stop,/d/
stop,/g/
stop,/l/
stop,/r/
uolucris,/wo.lu.kris/
uolucris,/wo.luk.ris/
kris,/ˈwo.lu.kris/
kris,/ˈfeː.mi.nae̯/
kris,/ˈpu.e.roː/
ris,/woˈluk.ris/
ris,/wiˈdeː.re/
ris,/in.telˈleːk.sit/
ris,/beˈaː.tae̯/
ris,/puˈel.la/
ris,/koˈaːk.tus/
vocalic,/i/
vocalic,/j/
vocalic,/u/
vocalic,/w/
both,/i/
both,/j/
both,/u/
both,/w/
from,/w/
from,/v/
Româ,/ˈroːmaː/
Româ,/ˈroːma/
denote,/iː/
denote,/aɪ/
of,/h/
of,/m/
of,/ae̯ oe̯/
of,/ɛː eː/
of,/w/
of,/β/
of,/b/
of,/v/
of,/n/
of,/s/
of,/i e/
of,/j/
consonants,/t d/
following,/j/
of,/k ɡ/
favour,/kʷ/
favour,/ɡʷ/
favour,/n/
favour,/w/
favour,/kw/
favour,/s/
favour,/l/
vowels,[i]
vowels,[u]
vowels,[ɛː]
vowels,[ɔː]
