,temp,Latin,Old English,Old Norse,Middle French,Epitran-PanPhon estimated closest word,Epitran-PanPhon estimation
the,0,status excessu,de,merking,le,Old English,de
of,1,de,van,på,sur,Latin,de
and,2,ac (atque),en,og,et,Old English,en
to,3,ad,tot,til,à,Latin,ad
in,4,,in,i,à,Old English,in
for,5,nam namque,voor,for,pour,Old Norse,for
is,6,,is,er,est,Old English,is
on,7,super,aan,på,sur,Old Norse,på
that,8,id,die,som,que,Old English,die
by,9,carmine ut exspiraret exspiravit,door,av,par,Old Norse,av
this,10,hoc,dit,disse,cette,Old English,dit
with,11,cum,met,med,avec,Middle French,avec
you,12,summa desideria,jij,du,vous,Old English,jij
it,13,pron,it,it,it,Old English,it
not,14,not our fault,geen,ikke,non,Middle French,non
or,15,aut,of,eller,ou,Old English,of
be,16,coon,be,eksistere,être,Old English,be
are,17,sunt,zijn,er,il sont,Old Norse,er
from,18,ex,van,fra,de,Old Norse,fra
at,19,at,om,kl.,à,Latin,at
as,20,ut fit,as,som,comme,Old English,as
your,21,vestro,your,din,your,Old English,your
all,22,semper ad te,alle,alle,tout,Old English,alle
have,23,suscipio,zijn,anta,vous poser,Old Norse,anta
new,24,nova,nieuw,nye,nouveau,Old Norse,nye
more,25,,meer,flere,plus,Old English,meer
an,26,ante,een,en,un,Old Norse,en
was,27,ertat,was,var,était,Old English,was
we,28,aristocratismus,weekend,vi,nous,Old Norse,vi
will,29,potestatem,zal,testament,sera,Middle French,sera
home,30,familia,thuis,hjem,le chez-soi,Old Norse,hjem
can,31,theca,blik,avskjedige,peut,Middle French,peut
us,32,simus,ons,med oss,us,Middle French,us
about,33,quasi,over,om,à propos,Old English,over
if,34,si,als,hvis,si,Latin,si
page,35,pagina,bladzijde,side,page,Middle French,page
my,36,meus,my,min,mon,Old English,my
has,37,habet,heeft,har,a,Old Norse,har
search,38,quaere,zoeken,søk,fr rechercher,Old English,zoeken
free,39,,vrij,ledig,gratuit,Old English,vrij
but,40,sed,maar,kun,on adore l’accent français,Old Norse,kun
our,41,sanctuarium nostrum,onze,vårt,notre,Old Norse,vårt
one,42,unus,één,ett,un,Old Norse,ett
other,43,alius,anders,annet,autre,Old Norse,annet
do,44,exerceo,doe,eksersis,faites,Old English,doe
no,45,i loqui parum latine,nee,no,non,Old Norse,no
information,46,informatio,informatie,informasjon,information,Middle French,information
time,47,,tijd,tid,convenu,Old English,tijd
they,48,perterritos,ze lopen,they,elles,Old Norse,they
site,49,site,locatie,nettside,site,Latin,site
he,50,malebat,hij,he,renouvellement de la résidence et de l'assurance maladie,Old Norse,he
up,51,respice ad caelum,omhoog,opp,vers le haut,Old Norse,opp
may,52,a fortvna li fece mai esserenio,mei,mai,il est possible que,Old Norse,mai
what,53,quid,wat,hva,quoi,Latin,quid
which,54,uter,wat,som,quel type de,Latin,uter
their,55,suus,hun,deres,leur,Old Norse,deres
news,56,nuntius,nieuws,nyheter,actualités,Old English,nieuws
out,57,nisi,uit,ut,sortie,Old English,uit
use,58,sumo,gebruik,prøyte,utilisation,Latin,sumo
any,59,ullus,elk,enhver,toutes,Old English,elk
there,60,ibi,daar,der,là bas,Middle French,là bas
see,61,animadverto,zien,besøke,voir,Old English,zien
only,62,tantum,alleen,alene,seulement,Old Norse,alene
so,63,sic,so,so,donc,Old English,so
his,64,diligvnt,zijn,hans,son,Middle French,son
when,65,non poterat,bij,når,quand,Old Norse,når
contact,66,conferre,contactpersoon,kontakt,contact,Middle French,contact
here,67,nisi illa,hier,her,ici,Old English,hier
business,68,,işletme,bedrift,business,Middle French,business
who,69,qui,wie,hvem,qui,Old English,wie
web,70,rete,web,web,web,Old English,web
also,71,quoque,tevens,også,également,Old Norse,også
now,72,nunquam enimpolo,wordt,nå,désormais,Old Norse,nå
help,73,subvenio,help,hjelp,aide,Old English,help
get,74,fio,ophalen,få til,retirer,Latin,fio
pm,75,pm,'s namiddags,pm,pm,Latin,pm
view,76,animadverto,weergeven,vis,voir,Middle French,voir
online,77,en interneto,online,pålogget,en ligne,Old English,online
first,78,initium,komt eerst,første,premier,Old Norse,første
am,79,idem,'s ochtends,er.,am,Middle French,am
been,80,fueer,geweest,tatt,a été,Old Norse,tatt
would,81,volebat,zou,ville,aurait,Old Norse,ville
how,82,,hoe,hvordan,comment,Old English,hoe
were,83,illud,waren,var,étaient,Old English,waren
me,84,,mij,meg,moi,Old Norse,meg
services,85,obsequia,diensten,tjenester,prestations,Old English,diensten
some,86,aliqua,weinig,omkring,certains,Old English,weinig
these,87,vulneratus,deze,disse,ces,Old Norse,disse
click,88,adhucemus momentum,klik,klikk,cliquez,Old Norse,klikk
its,89,,zijn,strømkretsen,smits,Old English,zijn
like,90,faciam,graag,liker,j'aime,Old Norse,liker
service,91,servitas,service,tjeneste,service,Old English,service
than,92,quam,dan,enn,que,Latin,quam
find,93,inventio,vinden,finn,trouve,Old Norse,finn
price,94,sumptus,prijs,pris,prix,Old English,prijs
date,95,constitutum,datum,dato,date,Middle French,date
back,96,back domus,terug,bakside,retour,Old English,terug
top,97,cacumen,bovenkant,topp,haut de page,Old Norse,topp
people,98,essentia,mensen,personer,personnes,Old English,mensen
had,99,in muros,gehad.,hadde,avais,Old English,gehad.
list,100,album,lijst,liste,annonce,Old English,lijst
name,101,nomen,naam,navn,name,Middle French,name
just,102,aequus,precies,kun,seulement,Old Norse,kun
over,103,supra,over,over,finie,Old English,over
state,104,aio,provincie,tilstand,état,Middle French,état
year,105,annus,jaar,år,année,Old English,jaar
day,106,dies diei,dag,dag,jour,Old English,dag
into,107,igni,in:,til,vers le,Latin,igni
