temp,Latin,Old English,Old Norse,Middle French
0,status excessu,de,merking,le
1,de,van,på,sur
2,ac (atque),en,og,et
3,ad,tot,til,à
4,,in,i,à
5,nam namque,voor,for,pour
6,,is,er,est
7,super,aan,på,sur
8,id,die,som,que
9,carmine ut exspiraret exspiravit,door,av,par
10,hoc,dit,disse,cette
11,cum,met,med,avec
12,summa desideria,jij,du,vous
13,pron,it,it,it
14,not our fault,geen,ikke,non
15,aut,of,eller,ou
16,coon,be,eksistere,être
17,sunt,zijn,er,il sont
18,ex,van,fra,de
19,at,om,kl.,à
20,ut fit,as,som,comme
21,vestro,your,din,your
22,semper ad te,alle,alle,tout
23,suscipio,zijn,anta,vous poser
24,nova,nieuw,nye,nouveau
25,,meer,flere,plus
26,ante,een,en,un
27,ertat,was,var,était
28,aristocratismus,weekend,vi,nous
29,potestatem,zal ,testament,sera
30,familia,thuis,hjem,le chez-soi
31,theca,blik,avskjedige,peut
32,simus,ons,med oss,us
33,quasi,over,om,à propos
34,si,als,hvis,si
35,pagina,bladzijde,side,page
36,meus,my,min,mon
37,habet,heeft,har,a
38,quaere,zoeken,søk,fr rechercher
39,,vrij,ledig,gratuit
40,sed,maar,kun,on adore l’accent français
41,sanctuarium nostrum,onze,vårt,notre
42,unus,één,ett,un
43,alius,anders,annet,autre
44,exerceo,doe,eksersis,faites
45,i loqui parum latine,nee,no,non
46,informatio,informatie,informasjon,information
47,,tijd,tid,convenu
48,perterritos,ze lopen,they,elles
49,site,locatie,nettside,site
50,malebat,hij,he,renouvellement de la résidence et de l'assurance maladie
51,respice ad caelum,omhoog,opp,vers le haut
52,a fortvna li fece mai esserenio,mei,mai,il est possible que
53,quid,wat,hva,quoi
54,uter,wat,som,quel type de
55,suus,hun,deres,leur
56,nuntius,nieuws,nyheter,actualités
57,nisi,uit,ut,sortie
58,sumo,gebruik,prøyte,utilisation
59,ullus,elk,enhver,toutes
60,ibi,daar,der,là bas
61,animadverto,zien,besøke,voir
62,tantum,alleen,alene,seulement
63,sic,so,so,donc
64,diligvnt,zijn,hans,son
65,non poterat,bij,når,quand
66,conferre,contactpersoon,kontakt,contact
67,nisi illa,hier,her,ici
68,,işletme,bedrift,business
69,qui,wie,hvem,qui
70,rete,web,web,web
71,quoque,tevens,også,également
72,nunquam enimpolo,wordt,nå,désormais
73,subvenio,help,hjelp,aide
74,fio,ophalen,få til,retirer
75,pm,'s namiddags,pm,pm
76,animadverto,weergeven,vis,voir
77,en interneto,online,pålogget,en ligne
78,initium,komt eerst,første,premier
79,idem,'s ochtends,er.,am
80,fueer,geweest,tatt,a été
81,volebat,zou,ville,aurait
82,,hoe,hvordan,comment
83,illud,waren,var,étaient
