Orth,Phon
the,/dʒ/
plosives,"/b, d, ɡ/"
plosives,"/v, ð/"
represent,"/b, d, ɡ/"
represent,/v/
represent,/θ/
represent,/k/
v,/v/
v,/f/
a,"/a, ɑː, a:/"
a,a
a,ɑː
bi,/b/
èc,/k/
èch,/χ/
di,/d/
èdd,/ð/
e,"/ɛ, eː/"
e,ɛ
e,eː
èf,/v/
èff,/f/
èg,/ɡ/
èng,/ŋ/
aets,/h/
dot,"/ɪ, iː, j/"
dot,ɪ
dot,iː
dot,j
je,/d͡ʒ/
je,[dʒɛlɪ]
je,[dʒɪnz]
èl,/l/
èll,/ɬ/
èm,/m/
èn,/n/
o,"/ɔ, oː/"
o,ɔ
o,oː
pi,/p/
ffi,/f/
èr,/r/
rhi,/r̥/
ès,/s/
ti,/t/
èth,/θ/
bedol,"/ɨ̞, ɨː/"
bedol,ɨ̞
bedol,ɨː
bedol,"/ɪ, iː/"
bedol,ɪ
bedol,iː
w,"/ʊ, uː, w/"
w,ʊ
w,uː
w,w
t,"/ɨ̞, ɨː, ə/"
t,ɨ̞
t,ɨː
t,ə
t,"/ɪ, iː, ə/"
t,ɪ
t,iː
t,/əː/
t,"/ɨ̞, ɨː/"
indicates,/ʃ/
indicates,/dʒ/
indicates,/tʃ/
phoneme,/h/
pronounced,"/ɪ, iː/"
pronounced,"/ɨ̞, ɨː/"
pronounced,/ɪ/
pronounced,/ɡ/
pronounced,/u/
indicates,/ə/
indicates,"/ɨ̞, ɨː/"
indicates,"/ɪ, iː/"
ae,/ɑːɨ̯/
ae,/ai̯/
ai,/ai̯/
au,/aɨ̯/
au,/a/
au,/ai̯/
au,/ɛ/
aw,"/au̯, ɑːu̯/"
aw,/au̯/
ei,/ɛi̯/
eu,/əɨ̯/
eu,/əi̯/
ew,"/ɛu̯, eːu̯/"
ew,/ɛu̯/
ey,/e.ɨ̯/
ey,/e.ɪ/
iw,/ɪu̯/
oe,"/ɔɨ̯, ɔːɨ̯/"
oe,/ɔi̯/
oi,/ɔi̯/
ou,"/ɔɨ̯, ɔːɨ̯/"
ou,/ɔi̯/
ow,/ɔu̯/
uw,/ɨu̯/
uw,/ɪu̯/
wy,"/ʊ̯ɨ, u̯ɨ/"
wy,/ʊ̯i/
yw,/ɨu̯/
yw,/ɪu̯/
n,/w/
n,/ɡwɨ̞n/
n,/ɡwɪn/
n,/ɡwɨːχ/
n,/ɡwiːχ/
n,/ˈɡwənjɔn/
w,/ə/
w,/w/
pas,/paːs/
pas,/pas/
pas,/muːɡ/
pas,/mʊɡ/
gẃraidd,/ˈɡʊ.raið/
gẃraidd,/ˈɡwraið/
cluster,/ij/
cluster,/kɔ.ˈpi.jɔ/
cluster,*/ˈkɔp.jɔ/
da,/dɑː/
mab,/mɑːb/
mab,/hoːf/
mab,/peːθ/
mab,/noːs/
a,/a/
iet,/jɛt/
iet,/ɬɔk/
iet,/sant/
iet,/pɛrθ/
iet,/ˈɛbrɪɬ/
pronounced,/ə/
pronounced,/ˈkəvan/
pronounced,/ɨ/
pronounced,/ɨ̞/
pronounced,/i/
pronounced,/ˈdɨːð/
pronounced,/ˈdiːð/
pronounced,/ˈɡwɨ̞nt/
pronounced,/ˈɡwɪnt/
gwin,/ɡwiːn/
gwin,/prɪn/
hen,/heːn/
hen,/pɛn/
dyn,/dɨːn/ ~ /diːn/
dyn,/ɡwɨ̞n/ ~ /ɡwɪn/
stwmo,/ˈstuːmo/
stwmo,/ˈamal/
celyn,/ˈkeːlɪn/
celyn,/ˈkalɔn/
onn,/ˈɔn/
onn,/ˈɛnɪɬ/
onn,/ˈkarɛɡ/
tyst,/tɨːst/
tyst,/ɡwɛɬ/
tyst,/ɡwɑːɬt/
dillad,/ɡweːɬ/
dillad,/tʊɬ/
dillad,/ˈdɪɬad/
dillad,/ˈmɛsir/
dillad,/sant/
dillad,/ɡwaɬt/
dillad,/tɪst/
